video_id,split,included_observations,excluded_observations
1055,train,199,17
1175,dev,137,7
1591,train,197,43
1626,dev,72,0
1917,dev,167,1
2138,train,188,28
2173,dev,169,23
2481,test,183,9
2534,dev,181,35
2842,train,233,7
2854,test,168,24
3188,train,121,23
3309,train,187,29
3835,train,62,10
3851,test,129,15
4262,dev,159,9
4454,train,146,22
5098,train,101,43
5170,train,135,9
5371,train,166,2
5619,train,232,8
5722,train,118,26
5779,train,226,14
585,train,149,19
6015,train,181,11
6054,train,171,45
6159,test,199,41
6268,test,135,9
661,train,155,37
6649,dev,150,18
6657,train,112,8
6664,train,185,31
6874,dev,215,25
6890,train,201,15
6925,train,198,42
70,dev,128,16
7388,train,205,11
7541,dev,161,55
7772,test,95,1
8062,train,149,19
8193,test,209,31
8589,train,169,23
8879,test,200,16
8932,train,145,47
8953,train,162,6
9009,test,211,29
9403,test,169,23
9603,train,144,24
9809,train,192,48
9958,train,126,18
