dataset,stratum_variable,stratum_level,metric,D_minus_C,paired_video_cluster_ci_low,paired_video_cluster_ci_high,pairs,positives,negatives,bootstrap_replicates,valid_replicates
movi_d,temporal_gap,high,auroc,0.005047215890589429,-0.005497591182432193,0.014693394016842465,665,333,332,10000,10000
movi_d,temporal_gap,low,auroc,0.00022410269281791795,-0.0005538283364745765,0.0009458503733446338,668,334,334,10000,10000
movi_d,temporal_gap,medium,auroc,0.000728273183363104,-0.0063414477643060465,0.006703854857741249,667,333,334,10000,10000
movi_d,minimum_visibility,high,auroc,0.0034123222748815296,-0.002541196437377974,0.010278849622419317,747,422,325,10000,10000
movi_d,minimum_visibility,low,auroc,-9.718172983474993e-05,-0.0054703506532644665,0.004017842993087453,613,270,343,10000,10000
movi_d,minimum_visibility,medium,auroc,0.002415506180566407,-0.0017668859772773573,0.006829714977891146,640,308,332,10000,10000
movi_d,dynamic_status,dynamic-dynamic,auroc,-0.07318104906937395,-0.12424984661903872,-0.0010011033229491324,233,197,36,10000,10000
movi_d,dynamic_status,dynamic-static,false_match_rate,0.009756097560975611,-0.0024096385542168677,0.023809523809523808,410,0,410,10000,10000
movi_d,dynamic_status,static-static,auroc,0.0007597861808830153,-0.0009706033756220783,0.0025226039038433227,1357,803,554,10000,10000
movi_d,label,negative,false_match_rate,-0.0020000000000000018,-0.013052208835341365,0.00998003992015968,1000,0,1000,10000,10000
movi_d,label,positive,recall,-0.006000000000000005,-0.020060684060212764,0.008,1000,1000,0,10000,10000
movi_d,negative_difficulty,easy,false_match_rate,-0.0020000000000000018,-0.012195121951219513,0.008247422680412371,500,0,500,10000,10000
movi_d,negative_difficulty,hard,false_match_rate,-0.0020000000000000018,-0.023301073720585815,0.019802525406725686,500,0,500,10000,10000
movi_d,negative_difficulty,positive_not_applicable,recall,-0.006000000000000005,-0.02002002002002002,0.008008008008008008,1000,1000,0,10000,10000
movi_d,camera_displacement_scene_units,zero,auroc,0.001615000000000144,-0.002112113546416472,0.004647114701405793,2000,1000,1000,10000,10000
movi_d,relative_camera_rotation_degrees,zero,auroc,0.001615000000000144,-0.0020630605754811183,0.004603886344369496,2000,1000,1000,10000,10000
movi_d,normalized_camera_displacement,zero,auroc,0.001615000000000144,-0.0020311228102558947,0.00464320463126466,2000,1000,1000,10000,10000
movi_e,temporal_gap,high,auroc,0.006331632837657031,0.0008669975405207282,0.01194096616231074,665,333,332,10000,10000
movi_e,temporal_gap,low,auroc,0.0006364516476029536,-9.831088493723605e-05,0.0017875680897110307,668,334,334,10000,10000
movi_e,temporal_gap,medium,auroc,0.004486522450594332,0.0017187532766891334,0.007476010105761177,667,333,334,10000,10000
movi_e,minimum_visibility,high,auroc,-0.002237966711650996,-0.005585914512906514,5.617083469633396e-05,607,360,247,10000,10000
movi_e,minimum_visibility,low,auroc,0.0061759756136283706,0.0026935570171516127,0.010210792818126051,717,308,409,10000,10000
movi_e,minimum_visibility,medium,auroc,0.0042816615298404415,0.0007174487225533877,0.008677410434454629,676,332,344,10000,10000
movi_e,dynamic_status,dynamic-dynamic,auroc,0.009523809523809601,-0.003968253968253954,0.02821157066945769,167,140,27,10000,10000
movi_e,dynamic_status,dynamic-static,false_match_rate,-0.006514657980456027,-0.02040816326530612,0.005831330025744628,307,0,307,10000,10000
movi_e,dynamic_status,static-static,auroc,0.0006931349954605315,-0.00035634638780027427,0.0020343065118601173,1526,860,666,10000,10000
movi_e,label,negative,false_match_rate,-0.001999999999999999,-0.006,0.00199203187250996,1000,0,1000,10000,10000
movi_e,label,positive,recall,0.010000000000000009,-0.0059881735031435636,0.026973026973026972,1000,1000,0,10000,10000
movi_e,negative_difficulty,easy,false_match_rate,-0.006,-0.013861386138613862,0.0,500,0,500,10000,10000
movi_e,negative_difficulty,hard,false_match_rate,0.002,-0.004016064257028112,0.008064516129032258,500,0,500,10000,10000
movi_e,negative_difficulty,positive_not_applicable,recall,0.010000000000000009,-0.005970297912826307,0.026973026973026972,1000,1000,0,10000,10000
movi_e,camera_displacement_scene_units,high,auroc,0.0051105322189659574,0.0006640152759963853,0.010686675595462904,665,332,333,10000,10000
movi_e,camera_displacement_scene_units,low,auroc,-0.00029787302558503814,-0.0015431272996524164,0.0004976193718914222,705,359,346,10000,10000
movi_e,camera_displacement_scene_units,medium,auroc,0.00469810160400852,0.00156091994956937,0.007987820373164848,630,309,321,10000,10000
movi_e,relative_camera_rotation_degrees,high,auroc,0.0061412793832757995,0.0012380366716508745,0.011607511162507503,633,311,322,10000,10000
movi_e,relative_camera_rotation_degrees,low,auroc,7.101600227243932e-05,-0.000829298034682277,0.00102167130918544,712,354,358,10000,10000
movi_e,relative_camera_rotation_degrees,medium,auroc,0.0041417910447760775,0.0008952890374235052,0.007996508336852436,655,335,320,10000,10000
movi_e,normalized_camera_displacement,high,auroc,0.00531721460514023,0.0009820525680075743,0.010734663675437232,638,323,315,10000,10000
movi_e,normalized_camera_displacement,low,auroc,-7.5075075073316455e-06,-0.0014056884856052138,0.0011239000195595896,730,370,360,10000,10000
movi_e,normalized_camera_displacement,medium,auroc,0.004680531195189186,0.0017781678028033737,0.008367860941764988,632,307,325,10000,10000
