dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_d,temporal_gap,high,A_rgb,665,333,332,0.889892904953146,0.9161413003426222,0.18373493975903615,0.8048048048048048,development_locked_90_recall
movi_d,temporal_gap,high,B_rgb_2d,665,333,332,0.9408444589167481,0.9514488195668097,0.11144578313253012,0.8678678678678678,development_locked_90_recall
movi_d,temporal_gap,high,C_camera_geometry,665,333,332,0.9580936358044791,0.962685154932257,0.05120481927710843,0.7987987987987988,development_locked_90_recall
movi_d,temporal_gap,high,D_pose_aligned_geometry,665,333,332,0.9631408516950686,0.9662835604028768,0.05120481927710843,0.7927927927927928,development_locked_90_recall
movi_d,temporal_gap,high,G_camera_geometry_only,665,333,332,0.9493288469192084,0.9577815002981539,0.05421686746987952,0.8018018018018018,development_locked_90_recall
movi_d,temporal_gap,high,G_pose_aligned_geometry_only,665,333,332,0.9525489344766453,0.9569665576602047,0.09036144578313253,0.8258258258258259,development_locked_90_recall
movi_d,temporal_gap,high,P_pose_only,665,333,332,0.5,0.5007518796992482,1.0,1.0,development_locked_90_recall
movi_d,temporal_gap,high,S_shuffled_pose,665,333,332,0.9579127320091175,0.9628961347481627,0.05421686746987952,0.8048048048048048,development_locked_90_recall
movi_d,temporal_gap,low,A_rgb,668,334,334,0.9779751873498511,0.9836493081481239,0.16467065868263472,0.9610778443113772,development_locked_90_recall
movi_d,temporal_gap,low,B_rgb_2d,668,334,334,0.9923805084441895,0.9932565055495357,0.041916167664670656,0.9640718562874252,development_locked_90_recall
movi_d,temporal_gap,low,C_camera_geometry,668,334,334,0.9982251066728818,0.9982687200367734,0.008982035928143712,0.9520958083832335,development_locked_90_recall
movi_d,temporal_gap,low,D_pose_aligned_geometry,668,334,334,0.9984492093656997,0.9985145322821511,0.0029940119760479044,0.9610778443113772,development_locked_90_recall
movi_d,temporal_gap,low,G_camera_geometry_only,668,334,334,0.9978934346875111,0.9979201846910508,0.005988023952095809,0.9431137724550899,development_locked_90_recall
