dataset,condition_id,translation_std_scene_units,rotation_std_degrees,split,auroc,pr_auc,false_match_rate,recall,f1,test_noise_minus_clean_auroc,test_paired_ci_low,test_paired_ci_high
movi_d,N_t0_r0,0.0,0.0,dev,0.986772,0.988422818661,0.022,0.9,0.939501779359,,,
movi_d,N_t0_r0,0.0,0.0,test,0.984952,0.986031173742,0.032,0.875,0.92323335028,0.0,0.0,0.0
movi_d,N_t0_r0p1,0.0,0.1,dev,0.986772,0.988430609228,0.022,0.9,0.939024390244,,,
movi_d,N_t0_r0p1,0.0,0.1,test,0.984958,0.986035005193,0.032,0.875,0.92213740458,6e-06,-6.1814556e-05,0.000104793052
movi_d,N_t0_r0p5,0.0,0.5,dev,0.986661,0.988315865248,0.023,0.899,0.938547486034,,,
movi_d,N_t0_r0p5,0.0,0.5,test,0.985082,0.986135764037,0.032,0.875,0.923935091278,0.00013,-0.000206388828,0.000541376968
movi_d,N_t0_r1,0.0,1.0,dev,0.986615,0.988279473614,0.022,0.898,0.939148073022,,,
movi_d,N_t0_r1,0.0,1.0,test,0.984764,0.985864201241,0.033,0.876,0.920570264766,-0.000188,-0.000507949446,0.000142139834
movi_d,N_t0_r2,0.0,2.0,dev,0.985622,0.987413012613,0.028,0.901,0.931437277806,,,
movi_d,N_t0_r2,0.0,2.0,test,0.984853,0.985936552412,0.034,0.877,0.926433282598,-9.9e-05,-0.000675658187,0.000604030361
movi_d,N_t0_r5,0.0,5.0,dev,0.981089,0.983260033368,0.031,0.875,0.926680244399,,,
movi_d,N_t0_r5,0.0,5.0,test,0.980915,0.981984028553,0.039,0.86,0.91483936767,-0.004037,-0.006311718103,-0.002260448679
movi_d,N_t0p01_r0,0.01,0.0,dev,0.986755,0.988414754399,0.023,0.899,0.938485002542,,,
movi_d,N_t0p01_r0,0.01,0.0,test,0.985017,0.98608377127,0.032,0.876,0.924327069578,6.5e-05,3.000012e-06,0.000141000014
movi_d,N_t0p01_r0p1,0.01,0.1,dev,0.986712,0.988371179508,0.024,0.9,0.938485002542,,,
movi_d,N_t0p01_r0p1,0.01,0.1,test,0.984922,0.986001022066,0.032,0.876,0.922764227642,-3e-05,-0.000106536791,6.48072e-05
movi_d,N_t0p01_r0p5,0.01,0.5,dev,0.986685,0.988342992102,0.022,0.899,0.938485002542,,,
movi_d,N_t0p01_r0p5,0.01,0.5,test,0.984982,0.986068330267,0.032,0.876,0.922685656155,3e-05,-0.000129488156,0.000225324028
movi_d,N_t0p01_r1,0.01,1.0,dev,0.98673,0.98838842114,0.019,0.897,0.936991869919,,,
movi_d,N_t0p01_r1,0.01,1.0,test,0.984819,0.985930913228,0.032,0.875,0.921199796645,-0.000133,-0.000650363783,0.000397007656
movi_d,N_t0p01_r2,0.01,2.0,dev,0.985934,0.987669457157,0.024,0.887,0.936451448907,,,
movi_d,N_t0p01_r2,0.01,2.0,test,0.984417,0.985693597242,0.033,0.873,0.923466801825,-0.000535,-0.001165267285,8.1918123e-05
movi_d,N_t0p01_r5,0.01,5.0,dev,0.980568,0.982768790273,0.039,0.878,0.926977687627,,,
movi_d,N_t0p01_r5,0.01,5.0,test,0.981456,0.982397397635,0.035,0.859,0.915564598169,-0.003496,-0.005718813355,-0.001436558644
movi_d,N_t0p05_r0,0.05,0.0,dev,0.986595,0.98829015785,0.02,0.898,0.938008130081,,,
movi_d,N_t0p05_r0,0.05,0.0,test,0.98488,0.985973136688,0.033,0.875,0.921199796645,-7.2e-05,-0.000293414206,0.000183632556
movi_d,N_t0p05_r0p1,0.05,0.1,dev,0.986803,0.98843743864,0.02,0.895,0.938962360122,,,
movi_d,N_t0p05_r0p1,0.05,0.1,test,0.985002,0.986093932838,0.034,0.875,0.923155216285,5e-05,-0.00023131187,0.000366367137
movi_d,N_t0p05_r0p5,0.05,0.5,dev,0.986693,0.988348812595,0.019,0.898,0.937945066124,,,
movi_d,N_t0p05_r0p5,0.05,0.5,test,0.985299,0.986318661131,0.031,0.875,0.923547400612,0.000347,-5.1967891e-05,0.000843844097
movi_d,N_t0p05_r1,0.05,1.0,dev,0.986523,0.988231483221,0.023,0.895,0.935368956743,,,
