system,split,selected_C,auroc,pr_auc,false_match_rate,recall,precision_at_max_f1,recall_at_max_f1,f1,brier_score,log_loss,ece_10_bins
A_rgb,dev,0.01,0.941812,0.955760107312,0.156,0.9,0.916038751346,0.851,0.882322446864,0.094915463263,0.322427026664,0.083091213041
A_rgb,test,0.01,0.949382,0.958999727274,0.154,0.891,0.906652360515,0.845,0.874741200828,0.091145468326,0.310096657925,0.067340157729
B_rgb_2d,dev,100.0,0.978248,0.98227951134,0.041,0.9,0.951832460733,0.909,0.929923273657,0.055125969438,0.190286004555,0.030225191615
B_rgb_2d,test,100.0,0.981201,0.983866566176,0.045,0.903,0.950836820084,0.909,0.929447852761,0.052354870896,0.182395017809,0.028309392109
C_camera_geometry,dev,10.0,0.98611,0.987837424356,0.024,0.9,0.959417273673,0.922,0.940336562978,0.0472370478,0.153225921357,0.023730008189
C_camera_geometry,test,10.0,0.991126,0.99191525256,0.009,0.906,0.96875,0.93,0.948979591837,0.036706536026,0.123690138474,0.022086968789
D_pose_aligned_geometry,dev,1.0,0.991853,0.992675517955,0.01,0.9,0.974947807933,0.934,0.954034729316,0.035010972212,0.117941174797,0.0159711035
D_pose_aligned_geometry,test,1.0,0.994183,0.994769800865,0.007,0.916,0.970408163265,0.951,0.960606060606,0.030781175289,0.103470807909,0.021950095743
G_camera_geometry_only,dev,1.0,0.981905,0.984984316643,0.024,0.9,0.956386292835,0.921,0.938359653591,0.053350284804,0.178966256241,0.035757178215
G_camera_geometry_only,test,1.0,0.987158,0.988290393336,0.021,0.909,0.959501557632,0.924,0.941416199694,0.044857755776,0.152458854314,0.025895535711
G_pose_aligned_geometry_only,dev,10.0,0.990597,0.991592500768,0.017,0.9,0.964803312629,0.932,0.948118006104,0.03975952161,0.129862044898,0.023286922631
G_pose_aligned_geometry_only,test,10.0,0.992365,0.992844877817,0.016,0.915,0.969979296066,0.937,0.953204476094,0.034624044491,0.117474507377,0.016409602572
P_pose_only,dev,100.0,0.505391,0.503067954556,0.881,0.9,0.5,1.0,0.666666666667,0.249998133288,0.693143452225,0.005751369996
P_pose_only,test,100.0,0.4998595,0.499675247053,0.874,0.866,0.5,1.0,0.666666666667,0.249997760829,0.693142701862,0.002721700357
S_shuffled_pose,dev,100.0,0.985232,0.987401820274,0.02,0.9,0.9614181439,0.922,0.941296579888,0.045425340586,0.15719669453,0.024425222269
S_shuffled_pose,test,100.0,0.989789,0.990813715748,0.02,0.909,0.960985626283,0.936,0.948328267477,0.038881921422,0.134151328498,0.019388346628
