system,split,selected_C,auroc,pr_auc,false_match_rate,recall,precision_at_max_f1,recall_at_max_f1,f1,brier_score,log_loss,ece_10_bins
A_rgb,dev,0.01,0.938978,0.954570894263,0.194,0.9,0.88945752303,0.869,0.879109762266,0.092069361276,0.311512771132,0.060960058294
A_rgb,test,0.01,0.935493,0.951954606624,0.168,0.882,0.900107411386,0.838,0.86794407043,0.094750601776,0.320249415308,0.048305970165
B_rgb_2d,dev,10.0,0.972715,0.977254138738,0.072,0.9,0.95145631068,0.882,0.915412558381,0.061442049012,0.209968135033,0.023416626809
B_rgb_2d,test,10.0,0.971199,0.975732426988,0.067,0.9,0.956474428727,0.879,0.916102136529,0.06394086401,0.216630875568,0.030692006338
C_camera_geometry,dev,100.0,0.982697,0.985589628124,0.039,0.9,0.938446014127,0.93,0.934203917629,0.049581596829,0.166566264137,0.026055589828
C_camera_geometry,test,100.0,0.983337,0.984805570073,0.034,0.881,0.93567839196,0.931,0.933333333333,0.050965278563,0.166051399201,0.012856796651
D_pose_aligned_geometry,dev,10.0,0.986772,0.988422818661,0.022,0.9,0.955532574974,0.924,0.939501779359,0.045319140874,0.15142650139,0.023429285738
D_pose_aligned_geometry,test,10.0,0.984952,0.986031173742,0.032,0.875,0.93898655636,0.908,0.92323335028,0.05081261286,0.162319576823,0.02445113072
G_camera_geometry_only,dev,100.0,0.980063,0.983541282787,0.031,0.9,0.96573875803,0.902,0.93278179938,0.054536900589,0.185461174028,0.034669722853
G_camera_geometry_only,test,100.0,0.979617,0.982192078627,0.034,0.878,0.959651035987,0.88,0.918101199791,0.056504063115,0.187832125242,0.023853424545
G_pose_aligned_geometry_only,dev,1.0,0.984055,0.986057679046,0.031,0.9,0.958904109589,0.91,0.93381221139,0.049729683041,0.169502139403,0.030915348969
G_pose_aligned_geometry_only,test,1.0,0.979247,0.980629423155,0.057,0.885,0.938413361169,0.899,0.918283963228,0.059052178864,0.19671470254,0.022846411014
P_pose_only,dev,0.01,0.5,0.5,1.0,1.0,0.5,1.0,0.666666666667,0.25,0.69314718056,0.0
P_pose_only,test,0.01,0.5,0.5,1.0,1.0,0.5,1.0,0.666666666667,0.25,0.69314718056,0.0
S_shuffled_pose,dev,10.0,0.981954,0.984647332023,0.038,0.9,0.943705220061,0.922,0.93272635306,0.051187490933,0.172833288287,0.019095121715
S_shuffled_pose,test,10.0,0.982156,0.983948905179,0.041,0.879,0.941727367326,0.905,0.922998470168,0.053113538702,0.173357392639,0.020641980487
