replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
1,0.746096737908,0.749072340193,0.707496325331,0.525309336333,0.844,0.796670416198,0.795753449291,0.753922008068,0.437570303712,0.839,0.877467941507,0.884894005197,0.806620209059,0.319460067492,0.854,0.849178852643,0.854358816151,0.799116997792,0.392575928009,0.898
2,0.734331343284,0.729700354855,0.68952734013,0.55223880597,0.86,0.848693532338,0.831238372511,0.778135048232,0.324378109453,0.843,0.898176119403,0.892127914283,0.813529921943,0.271641791045,0.889,0.881905472637,0.871635527931,0.821587867975,0.308457711443,0.918
3,0.734632318501,0.757459314151,0.705482775352,0.531615925059,0.853,0.825474238876,0.832509857414,0.782728525494,0.378220140515,0.847,0.884258782201,0.896577058651,0.82119205298,0.303278688525,0.869,0.866826697892,0.871035251182,0.825282167043,0.343091334895,0.908
4,0.733456331878,0.761014900319,0.68290306868,0.551310043668,0.821,0.834808951965,0.812200283765,0.783681214421,0.303493449782,0.823,0.902276200873,0.906573398554,0.827805542935,0.228165938865,0.839,0.894616812227,0.89368608647,0.826208178439,0.272925764192,0.882
5,0.740463928968,0.742560009661,0.708848715509,0.534961154273,0.867,0.820312985572,0.817719074646,0.771441400988,0.406215316315,0.856,0.874830188679,0.882918113388,0.805363321799,0.329633740289,0.871,0.846597114317,0.849142098457,0.80424215643,0.38179800222,0.905
6,0.77188170564,0.833229971702,0.727554179567,0.451169188446,0.833,0.815119669876,0.82401773974,0.810938236681,0.354883081155,0.854,0.883071526823,0.911427740298,0.838069463239,0.308115543329,0.848,0.852383768913,0.873036599812,0.832190214906,0.374140302613,0.906
7,0.653930058285,0.626033279461,0.612716763006,0.665278934221,0.86,0.780191507077,0.716956009462,0.715996578272,0.412989175687,0.828,0.831469608659,0.792931619909,0.742903487429,0.364696086595,0.846,0.834075770192,0.789339343767,0.761378136963,0.369691923397,0.888
8,0.735365695793,0.752272040697,0.694353709753,0.566343042071,0.856,0.817772384035,0.792229007445,0.777929776562,0.362459546926,0.849,0.869092772384,0.875341761377,0.797733217088,0.314994606257,0.846,0.841216828479,0.836499445308,0.789661319073,0.374325782093,0.882
9,0.738153846154,0.735906004669,0.690687880206,0.574425574426,0.856,0.832917082917,0.806992796452,0.758559359715,0.392607392607,0.853,0.893315684316,0.8913461134,0.802405498282,0.30969030969,0.888,0.863924075924,0.847738253308,0.803980960623,0.368631368631,0.922
10,0.74688,0.749328239113,0.708152436083,0.527567567568,0.854,0.830397837838,0.828968800517,0.768115942029,0.387027027027,0.845,0.898770810811,0.900214693389,0.819245773732,0.299459459459,0.893,0.873912432432,0.870915582776,0.822495606327,0.356756756757,0.931
11,0.704716831683,0.693464891764,0.672390420244,0.589108910891,0.868,0.808727722772,0.799349693071,0.749010989011,0.416831683168,0.846,0.858956435644,0.853709801192,0.779517562421,0.337623762376,0.861,0.845655445545,0.834891297772,0.786842105263,0.369306930693,0.891
12,0.766483689539,0.790065535003,0.720509055311,0.510686164229,0.852,0.848913385827,0.858171015567,0.788104089219,0.339707536558,0.843,0.911168728909,0.917996522436,0.829570606463,0.259842519685,0.887,0.88513048369,0.886683772979,0.828082808281,0.328458942632,0.917
13,0.778768060837,0.781130926995,0.704588910134,0.519011406844,0.852,0.845975285171,0.827564858241,0.765279007972,0.371673003802,0.862,0.906551330798,0.90282603506,0.794229953331,0.287072243346,0.89,0.862910646388,0.850450211455,0.787334189131,0.384030418251,0.919
14,0.783030571992,0.796795848119,0.707826932426,0.513806706114,0.851,0.859762327416,0.845756463835,0.77952402335,0.351084812623,0.868,0.909801775148,0.913307499892,0.804517810599,0.264299802761,0.882,0.869033530572,0.859978426328,0.798595875384,0.351084812623,0.907
15,0.734967086157,0.730773485661,0.681672025723,0.573088092933,0.865,0.841603097773,0.825741660466,0.767037861915,0.368828654405,0.858,0.882630203291,0.880407689924,0.788998710786,0.296224588577,0.87,0.859538238141,0.846144482433,0.792402826855,0.343659244918,0.892
16,0.728296222664,0.753933205044,0.671705243269,0.575546719682,0.823,0.853112326044,0.824622082498,0.782361308677,0.277335984095,0.82,0.916760437376,0.912588597349,0.827524575514,0.219681908549,0.873,0.909083499006,0.896882016392,0.834244080146,0.264413518887,0.911
