dimension,stratum,configuration,n_pairs,n_positive,n_negative,auroc,pr_auc,f1_at_locked_threshold,false_match_rate_at_locked_90_recall_threshold,achieved_recall_at_locked_90_recall_threshold,locked_f1_threshold,locked_90_recall_threshold
negative_comparison,positive_vs_hard,A_rgb_only,1500,1000,500,0.636198,0.786488169741,0.721864154685,0.732,0.847,0.4627167893231564,0.3700743525780599
negative_comparison,positive_vs_hard,B_rgb_2d,1500,1000,500,0.75663,0.842583768301,0.805885144756,0.514,0.845,0.43170553389623967,0.4376130904969784
negative_comparison,positive_vs_hard,C_rgb_2d_3d,1500,1000,500,0.85317,0.916996702244,0.849013308857,0.39,0.869,0.37928010903953285,0.5048223161175864
negative_comparison,positive_vs_hard,geometry_only,1500,1000,500,0.850778,0.914496800985,0.857547169811,0.408,0.904,0.45117200198761054,0.473062580975553
negative_comparison,positive_vs_easy,A_rgb_only,1500,1000,500,0.83684,0.917372047617,0.790874524715,0.394,0.847,0.4627167893231564,0.3700743525780599
negative_comparison,positive_vs_easy,B_rgb_2d,1500,1000,500,0.8989,0.94608934446,0.862804878049,0.234,0.845,0.43170553389623967,0.4376130904969784
negative_comparison,positive_vs_easy,C_rgb_2d_3d,1500,1000,500,0.923702,0.957505089253,0.89588377724,0.2,0.869,0.37928010903953285,0.5048223161175864
negative_comparison,positive_vs_easy,geometry_only,1500,1000,500,0.879936,0.921651097389,0.880387409201,0.302,0.904,0.45117200198761054,0.473062580975553
temporal_gap,short,A_rgb_only,668,334,334,0.85554340421,0.86067271347,0.770833333333,0.586826347305,0.943113772455,0.4627167893231564,0.3700743525780599
temporal_gap,short,B_rgb_2d,668,334,334,0.942002223099,0.943855033906,0.859116022099,0.236526946108,0.928143712575,0.43170553389623967,0.4376130904969784
temporal_gap,short,C_rgb_2d_3d,668,334,334,0.969853705762,0.968760454991,0.899425287356,0.095808383234,0.913173652695,0.37928010903953285,0.5048223161175864
temporal_gap,short,geometry_only,668,334,334,0.957250170318,0.948060896417,0.894886363636,0.161676646707,0.940119760479,0.45117200198761054,0.473062580975553
temporal_gap,medium,A_rgb_only,666,333,333,0.704867029191,0.676251989658,0.67972027972,0.552552552553,0.843843843844,0.4627167893231564,0.3700743525780599
temporal_gap,medium,B_rgb_2d,666,333,333,0.838460081703,0.831045475428,0.775067750678,0.354354354354,0.852852852853,0.43170553389623967,0.4376130904969784
temporal_gap,medium,C_rgb_2d_3d,666,333,333,0.89591393195,0.882916166158,0.80251572327,0.33033033033,0.924924924925,0.37928010903953285,0.5048223161175864
temporal_gap,medium,geometry_only,666,333,333,0.875569262957,0.851231724479,0.809278350515,0.372372372372,0.93993993994,0.45117200198761054,0.473062580975553
temporal_gap,long,A_rgb_only,666,333,333,0.651940228517,0.642052079348,0.584234930448,0.54954954955,0.753753753754,0.4627167893231564,0.3700743525780599
temporal_gap,long,B_rgb_2d,666,333,333,0.668407145885,0.641469537036,0.659685863874,0.531531531532,0.753753753754,0.43170553389623967,0.4376130904969784
temporal_gap,long,C_rgb_2d_3d,666,333,333,0.744753762772,0.736094132681,0.707729468599,0.459459459459,0.768768768769,0.37928010903953285,0.5048223161175864
temporal_gap,long,geometry_only,666,333,333,0.704948191435,0.678262751669,0.70351758794,0.531531531532,0.831831831832,0.45117200198761054,0.473062580975553
visibility,low,A_rgb_only,782,398,384,0.697550251256,0.705551808424,0.665882352941,0.59375,0.824120603015,0.4627167893231564,0.3700743525780599
visibility,low,B_rgb_2d,782,398,384,0.836460950586,0.829864781629,0.763888888889,0.348958333333,0.826633165829,0.43170553389623967,0.4376130904969784
visibility,low,C_rgb_2d_3d,782,398,384,0.873972728224,0.874071139122,0.80269058296,0.291666666667,0.856783919598,0.37928010903953285,0.5048223161175864
visibility,low,geometry_only,782,398,384,0.854827523032,0.839949797108,0.797752808989,0.346354166667,0.881909547739,0.45117200198761054,0.473062580975553
visibility,medium,A_rgb_only,652,324,328,0.760821288768,0.759273601894,0.708860759494,0.521341463415,0.898148148148,0.4627167893231564,0.3700743525780599
visibility,medium,B_rgb_2d,652,324,328,0.827301641072,0.777291814984,0.780763790665,0.326219512195,0.845679012346,0.43170553389623967,0.4376130904969784
visibility,medium,C_rgb_2d_3d,652,324,328,0.897423592291,0.889015164584,0.812332439678,0.259146341463,0.867283950617,0.37928010903953285,0.5048223161175864
visibility,medium,geometry_only,652,324,328,0.882631361036,0.867412647222,0.812324929972,0.289634146341,0.891975308642,0.45117200198761054,0.473062580975553
visibility,high,A_rgb_only,566,278,288,0.760916266986,0.80287390053,0.678383128295,0.569444444444,0.820143884892,0.4627167893231564,0.3700743525780599
visibility,high,B_rgb_2d,566,278,288,0.818570143885,0.824867066299,0.741984732824,0.461805555556,0.870503597122,0.43170553389623967,0.4376130904969784
visibility,high,C_rgb_2d_3d,566,278,288,0.901728617106,0.905862348712,0.775330396476,0.340277777778,0.888489208633,0.37928010903953285,0.5048223161175864
visibility,high,geometry_only,566,278,288,0.864733213429,0.864054230996,0.785714285714,0.440972222222,0.94964028777,0.45117200198761054,0.473062580975553
motion,low,A_rgb_only,753,363,390,0.80076287349,0.814881192089,0.724935732648,0.533333333333,0.867768595041,0.4627167893231564,0.3700743525780599
motion,low,B_rgb_2d,753,363,390,0.897181606273,0.88937384341,0.798578199052,0.369230769231,0.928374655647,0.43170553389623967,0.4376130904969784
motion,low,C_rgb_2d_3d,753,363,390,0.943639189094,0.943926625435,0.81387283237,0.294871794872,0.942148760331,0.37928010903953285,0.5048223161175864
motion,low,geometry_only,753,363,390,0.930529066893,0.924915990019,0.824355971897,0.348717948718,0.969696969697,0.45117200198761054,0.473062580975553
motion,medium,A_rgb_only,612,295,317,0.702325830081,0.684298551532,0.631921824104,0.545741324921,0.803389830508,0.4627167893231564,0.3700743525780599
motion,medium,B_rgb_2d,612,295,317,0.80352884564,0.740667640647,0.748520710059,0.400630914826,0.854237288136,0.43170553389623967,0.4376130904969784
motion,medium,C_rgb_2d_3d,612,295,317,0.894284339411,0.874523397949,0.784810126582,0.299684542587,0.891525423729,0.37928010903953285,0.5048223161175864
motion,medium,geometry_only,612,295,317,0.864845211998,0.819861209607,0.795422031474,0.384858044164,0.938983050847,0.45117200198761054,0.473062580975553
motion,high,A_rgb_only,635,342,293,0.684110731892,0.702084798653,0.682926829268,0.621160409556,0.862573099415,0.4627167893231564,0.3700743525780599
motion,high,B_rgb_2d,635,342,293,0.779164920264,0.78604049263,0.733711048159,0.351535836177,0.748538011696,0.43170553389623967,0.4376130904969784
motion,high,C_rgb_2d_3d,635,342,293,0.826886613576,0.820191219386,0.791386271871,0.290102389078,0.771929824561,0.37928010903953285,0.5048223161175864
motion,high,geometry_only,635,342,293,0.812266730535,0.795689623339,0.771784232365,0.331058020478,0.804093567251,0.45117200198761054,0.473062580975553
